feature,family,non_null_rows,missing_frac,n_unique,pearson_next_level,spearman_next_level,pearson_next_delta,spearman_next_delta,combined_score
observed_soh_pct_lag2,history,769,0.005174644243208237,36,0.9235446083937725,0.9211984687333488,-0.09792010747374996,-0.10351476568025277,0.30649190794761827
prev2_observed_soh_pct,operating,769,0.005174644243208237,36,0.9235446083937725,0.9211984687333488,-0.09792010747374996,-0.10351476568025277,0.30649190794761827
observed_soh_pct_rollmax_5,history,771,0.002587322121604174,33,0.9119919430777076,0.9163154845321774,-0.10114602006009214,-0.10501695339366071,0.30624795203277233
observed_soh_pct_rollmax_3,history,771,0.002587322121604174,35,0.9294124084605279,0.9296001962519506,-0.08648552817884424,-0.10481807435590088,0.305495062197654
observed_soh_pct_ewmmean_8,history,771,0.002587322121604174,766,0.9150414526015876,0.9075822227539323,-0.09893586190665944,-0.10187910237796131,0.30316783331532904
observed_soh_pct_rollmin_5,history,771,0.002587322121604174,36,0.9053883494518942,0.8933004908562189,-0.09247280981494,-0.10967960291697679,0.3016315728307438
observed_soh_pct_rollmax_8,history,771,0.002587322121604174,32,0.8902402925552497,0.8998589419606141,-0.10225582896756688,-0.10233634814874472,0.3007309759068223
observed_soh_pct_lag3,history,767,0.0077619663648124115,36,0.9019940076515965,0.8992250568943372,-0.0871519395967363,-0.1065858146923497,0.2991923577898885
observed_soh_pct_rollmean_8,history,771,0.002587322121604174,238,0.9004625355459738,0.8900180801399601,-0.0969052327397984,-0.10099260758763348,0.29806720881196597
observed_soh_pct_rollmax_13,history,771,0.002587322121604174,31,0.8418573395902992,0.8620380180589514,-0.11264902566108621,-0.11207840722215547,0.2977214276161685
observed_soh_pct_ewmmean_13,history,771,0.002587322121604174,766,0.8901830803599639,0.8817598724248207,-0.09664091516194483,-0.09383593087443615,0.2925007323417992
observed_soh_pct_rollmin_8,history,771,0.002587322121604174,35,0.8759393062584373,0.8604806995553979,-0.0939036622226442,-0.10368383120130646,0.2914948582665346
observed_soh_pct_lag5,history,763,0.012936610608020649,36,0.855811682309174,0.8516330703365352,-0.09717363000280171,-0.0964333437322079,0.28587322246173175
observed_soh_pct_rollmean_13,history,771,0.002587322121604174,320,0.8617539989999128,0.8536768552869608,-0.0997164196147658,-0.09239412072493909,0.28571920840368775
observed_soh_pct_rollmax_21,history,771,0.002587322121604174,29,0.7755713962636759,0.8150611180836068,-0.11129253364467681,-0.10750383954919036,0.28158079522944734
observed_soh_pct_rollmin_13,history,771,0.002587322121604174,35,0.834651879650187,0.8235441652197237,-0.08969429012961305,-0.09173312766003425,0.2751850072338766
observed_soh_pct_rollmean_21,history,771,0.002587322121604174,420,0.8033206003954011,0.8042421772503457,-0.09211952582894993,-0.07502193147600573,0.2623641135399795
observed_soh_pct_lag8,history,757,0.02069857697283317,36,0.7906625190847246,0.7875020372421534,-0.08902083941763021,-0.08035444009953316,0.2600573073648744
observed_soh_pct_rollmin_21,history,771,0.002587322121604174,35,0.8029409254599866,0.7935743742024454,-0.058399074180330926,-0.06626815192752228,0.24667063929784977
latent_soh_filter_pct,latent,773,0.0,773,0.7953732564543455,0.7967180157301984,-0.05864380434999897,-0.04214377390832679,0.23560286756871107
latent_soh_filterpy_filter_pct,latent,773,0.0,773,0.7953732564543455,0.7967180157301984,-0.05864380434999897,-0.04214377390832679,0.23560286756871107
_filterpy_pred_state_pct,latent,773,0.0,772,0.782818831054214,0.7856605321794649,-0.056216983629807975,-0.036079613398670766,0.22923188405068534
prev_latent_filter_pct,history,771,0.002587322121604174,771,0.781864296747852,0.7843909677428754,-0.05641727992828373,-0.036387261156435605,0.22914452633509766
latent_soh_filter_pct_lag1,history,771,0.002587322121604174,771,0.781864296747852,0.7843909677428754,-0.05641727992828373,-0.036387261156435605,0.22914452633509766
latent_soh_filter_pct_rollmax_2,history,771,0.002587322121604174,742,0.7751743448291922,0.7787860948653489,-0.05644402116080807,-0.03470229801267668,0.22688458916666848
latent_soh_filter_pct_rollmean_2,history,771,0.002587322121604174,771,0.7759348286475467,0.7792183962957829,-0.055988986970484406,-0.03464343876022333,0.22686248584236793
latent_soh_filter_pct_rollmin_2,history,771,0.002587322121604174,742,0.776548848543682,0.7796583349853555,-0.05552561583253912,-0.03451956013284935,0.22679512191171547
observed_soh_pct_lag13,history,747,0.03363518758085382,36,0.6703633177340104,0.6839121857373671,-0.09749387035792925,-0.05875537882831869,0.2253112412141283
latent_soh_filter_pct_rollmin_3,history,771,0.002587322121604174,718,0.7714815258179076,0.775063557248339,-0.05454869428210217,-0.033138475067142355,0.2246846082338863
latent_soh_filter_pct_ewmmean_3,history,771,0.002587322121604174,771,0.7707116980083981,0.7752588380224623,-0.05532157851062983,-0.03232828442589781,0.2245041970490521
rolling_latent_filter_mean_3,history,771,0.002587322121604174,771,0.7701558932586501,0.7746112063455913,-0.05540053227500996,-0.032528937432129194,0.22446545180466482
latent_soh_filter_pct_rollmean_3,history,771,0.002587322121604174,771,0.7701558932586501,0.7746112063455913,-0.05540053227500996,-0.032528937432129194,0.22446545180466482
latent_soh_filter_pct_rollmax_3,history,771,0.002587322121604174,716,0.7686100960151948,0.7736573367347256,-0.05604331395039849,-0.032070186079179754,0.22415418803247875
