group,feature,selected
multiscale_history,condition_multiplier_rollmin_3,False
multiscale_history,condition_multiplier_rollmax_3,False
multiscale_history,condition_multiplier_rollslope_3,False
multiscale_history,condition_multiplier_rollmean_5,False
multiscale_history,condition_multiplier_rollstd_5,False
multiscale_history,condition_multiplier_rollmin_5,False
multiscale_history,condition_multiplier_rollmax_5,False
multiscale_history,condition_multiplier_rollslope_5,False
multiscale_history,condition_multiplier_rollmean_8,False
multiscale_history,condition_multiplier_rollstd_8,False
multiscale_history,condition_multiplier_rollmin_8,False
multiscale_history,condition_multiplier_rollmax_8,False
multiscale_history,condition_multiplier_rollslope_8,False
multiscale_history,condition_multiplier_rollmean_13,False
multiscale_history,condition_multiplier_rollstd_13,False
multiscale_history,condition_multiplier_rollmin_13,False
multiscale_history,condition_multiplier_rollmax_13,False
multiscale_history,condition_multiplier_rollslope_13,False
multiscale_history,condition_multiplier_rollmean_21,False
multiscale_history,condition_multiplier_rollstd_21,False
multiscale_history,condition_multiplier_rollmin_21,False
multiscale_history,condition_multiplier_rollmax_21,False
multiscale_history,condition_multiplier_rollslope_21,False
multiscale_history,condition_multiplier_ewmmean_3,False
multiscale_history,condition_multiplier_ewmstd_3,False
multiscale_history,condition_multiplier_ewmmean_5,False
multiscale_history,condition_multiplier_ewmstd_5,False
multiscale_history,condition_multiplier_ewmmean_8,False
multiscale_history,condition_multiplier_ewmstd_8,False
multiscale_history,condition_multiplier_ewmmean_13,False
multiscale_history,condition_multiplier_ewmstd_13,False
multiscale_history,current_abs_mean_a_lag1,False
multiscale_history,current_abs_mean_a_lag2,False
multiscale_history,current_abs_mean_a_lag3,False
multiscale_history,current_abs_mean_a_lag5,False
multiscale_history,current_abs_mean_a_lag8,False
multiscale_history,current_abs_mean_a_lag13,False
multiscale_history,current_abs_mean_a_diff1,False
multiscale_history,current_abs_mean_a_pct_change1,False
multiscale_history,current_abs_mean_a_rate_per_day1,False
multiscale_history,current_abs_mean_a_diff3,False
multiscale_history,current_abs_mean_a_pct_change3,False
multiscale_history,current_abs_mean_a_rate_per_day3,False
multiscale_history,current_abs_mean_a_diff5,False
multiscale_history,current_abs_mean_a_pct_change5,False
multiscale_history,current_abs_mean_a_rate_per_day5,False
multiscale_history,current_abs_mean_a_rollmean_2,False
multiscale_history,current_abs_mean_a_rollstd_2,False
multiscale_history,current_abs_mean_a_rollmin_2,False
multiscale_history,current_abs_mean_a_rollmax_2,False
multiscale_history,current_abs_mean_a_rollslope_2,False
multiscale_history,current_abs_mean_a_rollmean_3,False
multiscale_history,current_abs_mean_a_rollstd_3,False
multiscale_history,current_abs_mean_a_rollmin_3,False
multiscale_history,current_abs_mean_a_rollmax_3,False
multiscale_history,current_abs_mean_a_rollslope_3,False
multiscale_history,current_abs_mean_a_rollmean_5,False
multiscale_history,current_abs_mean_a_rollstd_5,False
multiscale_history,current_abs_mean_a_rollmin_5,False
multiscale_history,current_abs_mean_a_rollmax_5,False
multiscale_history,current_abs_mean_a_rollslope_5,False
multiscale_history,current_abs_mean_a_rollmean_8,False
multiscale_history,current_abs_mean_a_rollstd_8,False
multiscale_history,current_abs_mean_a_rollmin_8,False
multiscale_history,current_abs_mean_a_rollmax_8,False
multiscale_history,current_abs_mean_a_rollslope_8,False
multiscale_history,current_abs_mean_a_rollmean_13,False
multiscale_history,current_abs_mean_a_rollstd_13,False
multiscale_history,current_abs_mean_a_rollmin_13,False
multiscale_history,current_abs_mean_a_rollmax_13,False
