file_id,protocol,current_soh_pct,latent_soh_filter_pct,target_next_soh_pct,target_delta_soh_pct,duration_h,dod_frac,temp_mean_c,temp_max_c,temp_span_c,cumulative_equiv_cycles,gap_h,current_abs_mean_a,p95_abs_current_a,current_span_a,avg_cell_temp_mean_c,avg_cell_temp_max_c,avg_cell_temp_span_c,soc_span_pct,event_duration_s,delta_days,event_efc,event_ah,cumulative_efc,cumulative_ah,cumulative_flight_count,time_since_prev_event_days,capacity_test_start_cycle_id,capacity_test_end_cycle_id,capacity_test_start_cycle_index,capacity_test_end_cycle_index,interval_cycle_count,split
VAH13,Short cruise length (600 sec),86.40449613831213,86.40449613831213,85.4764876487883,-0.9280084895238424,95.55905805817856,25.113772666520777,29.03566335385871,47.156422,25.032435,332.4694597574035,95.98405810883347,2.7486578736938094,15.5702904,18.126939,29.03566335385871,47.156422,23.89840286,2511.3772666520777,344012.60900944285,3.9993357545347274,25.113772666520777,76.47933443082927,332.4694597574035,1012.4740451569196,650,3.9993357545347274,664,715,664,715,50,train
VAH13,Short cruise length (600 sec),85.4764876487883,85.4764876487883,85.07585468918755,-0.4006329596007378,96.9601554474056,25.223530233943183,28.879221979338137,47.658482,25.801215,358.4379973004123,97.38515549808042,2.729532626709887,15.6286122,18.201221,28.879221979338137,47.658482,24.662005900000008,2522.3530233943184,349056.5596106602,4.057714812420017,25.223530233943183,76.81358073530438,358.4379973004123,1091.556407405063,700,4.057714812420017,715,766,715,766,50,train
VAH13,Short cruise length (600 sec),85.07585468918755,85.07585468918755,79.80799198195015,-5.267862707237406,201.88653870565662,50.532761248958955,29.675987145405585,53.228214,31.221897000000002,384.51228608124734,202.711538776025,2.6562493574840085,15.981969099999999,18.976543000000003,29.675987145405585,53.228214,26.966031818181822,5053.276124895896,726791.5393403638,8.44631411566771,50.532761248958955,153.8881472963414,384.51228608124734,1170.960815424329,750,8.44631411566771,766,866,766,866,99,train
VAH13,Short cruise length (600 sec),79.80799198195015,79.80799198195015,80.26919685662956,0.46120487467941795,106.13234829268367,25.95982332272269,29.395081051263492,54.608887,32.932047000000004,435.8431272500258,106.55734833701644,2.6088291536020503,16.10228725,19.313271,29.395081051263492,54.608887,30.636527620000006,2595.9823322722696,382076.4538536612,4.439889514042351,25.95982332272269,79.05582470731201,435.8431272500258,1327.2793670211668,849,4.439889514042351,866,917,866,917,50,train
VAH13,Short cruise length (600 sec),80.26919685662956,80.26919685662956,79.25560250244392,-1.0135943541856476,106.16739557631988,26.178081718712622,29.326414866692424,56.358253,35.010889999999996,462.6056425413147,106.59239562313331,2.630590480938796,16.210212,19.743393,29.326414866692424,56.358253,32.633631879999996,2617.8081718712624,382202.6240747515,4.441349817630555,26.178081718712622,79.72049015128582,462.6056425413147,1408.7796411676022,899,4.441349817630555,917,968,917,968,50,train
VAH13,Short cruise length (600 sec),79.25560250244392,79.25560250244392,77.95453766278483,-1.3010648396590823,106.64753049113581,26.432014726763015,29.865678998288885,59.519665,37.591795000000005,489.5762802850518,107.0725305417889,2.645464528543345,16.265775,20.532309,29.865678998288885,59.519665,35.0851001,2643.2014726763014,383931.1097680889,4.461355439241204,26.432014726763015,80.49379600634765,489.5762802850518,1490.913713622826,949,4.461355439241204,968,1019,968,1019,50,train
VAH13,Short cruise length (600 sec),77.95453766278483,77.95453766278483,77.4166641005287,-0.5378735622561248,173.69179675303064,11.123255452359695,29.51262135086563,61.135674,40.698298,516.7878403884423,173.87513065632226,2.5553923734759567,16.3272092,21.594115000000002,29.51262135086563,61.135674,37.05536828571429,1112.3255452359695,625290.4683109103,7.244797110680094,11.123255452359695,33.873810398651536,516.7878403884423,1573.7814704177338,999,7.244797110680094,1019,1041,1019,1041,21,train
VAH15,Extended cruise (1000 sec),100.0,100.0,100.0,0.0,91.98109467593142,31.797413423164933,29.521788233753,47.21162,24.635477000000005,1.0,92.40609471292004,3.298899182121577,14.5880378,18.299207,29.521788233753,47.21162,22.93374938,3179.741342316493,331131.94083335303,3.850253946371668,31.797413423164933,99.36107683900595,1.0,3.1248163338537402,0,3.850253946371668,0,51,0,51,50,train
VAH15,Extended cruise (1000 sec),100.0,100.0,96.91074106119612,-3.0892589388038805,93.30173750990691,31.98460602572411,29.287139279096536,48.136044,25.765327999999997,33.79741342316493,93.72673755423722,3.281328089520821,14.697934199999999,18.575721,29.287139279096536,48.136044,24.271555780000003,3198.460602572411,335886.2550356649,3.9052807314265507,31.98460602572411,99.94601934105945,33.79741342316493,105.61070950671343,50,3.9052807314265507,51,102,51,102,50,train
VAH15,Extended cruise (1000 sec),96.91074106119612,96.91074106119612,94.5609547381803,-2.3497863230158265,95.03926620256888,32.19834751584291,29.05245103648841,49.60564,27.479858,66.75112685950099,95.46426624776973,3.2588840724111003,14.796012900000001,18.830174,29.05245103648841,49.60564,25.896485919999996,3219.8347515842916,342141.3583292479,3.977677760323739,32.19834751584291,100.61392224060494,66.75112685950099,208.58501151371183,100,3.977677760323739,102,153,102,153,50,train
