,corr_with_next_observed_delta_step_5_pct,abs_corr
flight_event_flag,0.04112218484750936,0.04112218484750936
observed_soh_slope_pct_per_day_1,-0.04032706351758441,0.04032706351758441
duration_stress_index,-0.03868904452051446,0.03868904452051446
score_event_type,-0.03724074529183839,0.03724074529183839
charge_event_flag,-0.03299224686318591,0.03299224686318591
score_observation_instability,-0.03266801186558266,0.03266801186558266
flag_new_est_batt_cap_any,-0.031095980066555763,0.031095980066555763
cap_est_span_raw,-0.030972257465984747,0.030972257465984747
current_temp_stress_index,0.029988042385212445,0.029988042385212445
cap_est_delta_raw,-0.029784070214168,0.029784070214168
arrhenius_temp_proxy,-0.02890806851105742,0.02890806851105742
score_didt,0.027953163545937774,0.027953163545937774
avg_cell_temp_min_c,0.02483195509598979,0.02483195509598979
current_abs_mean_a,0.023381505257508598,0.023381505257508598
_filterpy_pred_var_pct2,-0.022877571469659384,0.022877571469659384
rolling_current_abs_mean_5,0.022221366214567904,0.022221366214567904
rolling_latent_filter_delta_std_5,-0.019922733961546372,0.019922733961546372
observed_soh_delta_2,-0.017928925021443956,0.017928925021443956
instant_stress_index,0.016544664444193224,0.016544664444193224
p95_abs_dcurrent_a_per_s,0.016380113574018845,0.016380113574018845
latent_soh_filter_pct,-0.01618136973397255,0.01618136973397255
latent_soh_filterpy_filter_pct,-0.01618136973397255,0.01618136973397255
kalman_coulomb_gap_span_pct,0.015685559002776787,0.015685559002776787
estimation_reset_risk,0.015371367148376683,0.015371367148376683
soc_edge_stress_proxy,0.01534433344699732,0.01534433344699732
_filterpy_pred_state_pct,-0.013947567887826669,0.013947567887826669
soc_stress_index,0.01327365291748612,0.01327365291748612
prev_latent_filter_pct,-0.012274379496961068,0.012274379496961068
rolling_latent_filter_mean_3,-0.010725723929398011,0.010725723929398011
prev2_latent_filter_pct,-0.008915960606240248,0.008915960606240248
coulomb_gap_abs_pct,0.008576985874823457,0.008576985874823457
thermal_severity_proxy,-0.007913584875025942,0.007913584875025942
score_soc_edge,0.007742653753664502,0.007742653753664502
observed_soh_span_pct,0.0059932071743453155,0.0059932071743453155
measurement_sigma_pct,0.005294585085200905,0.005294585085200905
condition_multiplier,0.005294585085200798,0.005294585085200798
soc_span_pct,0.0043074078423643814,0.0043074078423643814
rolling_soc_mean_5,-0.003984990192224119,0.003984990192224119
degradation_stress_proxy,0.0038608456000668993,0.0038608456000668993
kalman_coulomb_gap_mean_pct,-0.0030282600341064426,0.0030282600341064426
battery_id,0.0024101676629364995,0.0024101676629364995
score_dtemp,0.002103988920040139,0.002103988920040139
score_switch,0.001962212624621467,0.001962212624621467
avg_cell_temp_span_c,-0.0015737089753036103,0.0015737089753036103
p95_abs_dtemp_c_per_min,-0.0014501722553555048,0.0014501722553555048
voltage_sag_proxy_v,-0.0012136592801586191,0.0012136592801586191
event_efc,-0.000743292858164626,0.000743292858164626
event_ah,0.0003754784393869739,0.0003754784393869739
rolling_temp_span_mean_5,-0.0002808809854894985,0.0002808809854894985
