model,eval_split,n,level_mae,level_rmse,level_r2,delta_mae,delta_rmse,delta_r2
gru_sequence,train,752,12.29175979533094,15.461250049453064,-1.3968473287358791,12.29175979533094,15.461250049453064,-1.3855632055611093
gru_sequence,valid,166,1.6916326959449124,2.064170483061094,-0.17792245700293297,1.6916326959449124,2.064170483061094,-0.3321525690322267
gru_sequence,test,114,10.684422007778235,13.321399925865924,-0.7581290429207252,10.684422007778235,13.321399925865924,-1.4987363758411667
gru_sequence,holdout,26,24.722387460561897,24.738408503538533,-794.5855118743318,24.722387460561897,24.738408503538533,-2026.963069483591
physics_hybrid_nn,train,774,6.8373236052441655,9.730604068593316,0.07375365764562303,6.8373236052441655,9.730604068593316,0.028485157787697446
physics_hybrid_nn,valid,166,1.4863932046545558,1.7969124324323165,0.1073537155328197,1.4863932046545558,1.7969124324323165,-0.009524042962587798
physics_hybrid_nn,test,114,9.942303473489327,12.11198083867828,-0.45338731438692603,9.942303473489327,12.11198083867828,-1.065622978738578
physics_hybrid_nn,holdout,48,0.7370567321777344,0.8419918263667726,-0.06620192100529798,0.7370567321777344,0.8419918263667726,-1.8556317184967073
physics_informed_pinn,train,774,6.955296410454644,9.559590330491794,0.10602481246643358,6.955296410454644,9.559590330491794,0.06233350293101725
physics_informed_pinn,valid,166,1.5455930778779179,1.823941102087007,0.08029786427201635,1.5455930778779179,1.823941102087007,-0.04012242535198429
physics_informed_pinn,test,114,10.86552191617196,13.194242525469457,-0.7247253248302126,10.86552191617196,13.194242525469457,-1.451261427504925
physics_informed_pinn,holdout,48,0.8437035878499349,1.0359847706860004,-0.6141000531951823,0.8437035878499349,1.0359847706860004,-3.3230791634528316
