,corr_with_next_latent_delta_flight_5_pct,abs_corr
observed_soh_slope_pct_per_day_1,0.10664268600214949,0.10664268600214949
rolling_observed_soh_std_3,-0.10653260837778715,0.10653260837778715
rolling_soc_span_mean_5,-0.10527709958233539,0.10527709958233539
thermal_severity_proxy,0.10505160430019604,0.10505160430019604
soc_edge_stress_proxy,0.10000984571360089,0.10000984571360089
avg_cell_temp_min_c,0.09737956909417757,0.09737956909417757
event_efc,-0.0960571958482026,0.0960571958482026
event_ah,-0.08950993583207917,0.08950993583207917
arrhenius_temp_proxy,0.08739253434268447,0.08739253434268447
avg_cell_temp_span_c,0.08443308033795607,0.08443308033795607
soc_span_pct,-0.08354318496214228,0.08354318496214228
flag_rst_coulomb_any,0.08350304936150477,0.08350304936150477
rolling_sigma_mean_5,-0.08277966251013764,0.08277966251013764
rolling_condition_mean_5,-0.08127911661927374,0.08127911661927374
observed_soh_delta_1,0.07819575813040805,0.07819575813040805
measurement_sigma_pct,-0.07198976322902281,0.07198976322902281
observed_soh_delta_2,0.07147305450099335,0.07147305450099335
degradation_stress_proxy,0.07077577224847893,0.07077577224847893
condition_multiplier,-0.0683204574825287,0.0683204574825287
prev2_latent_filter_pct,-0.06014117266700591,0.06014117266700591
rolling_latent_filter_mean_3,-0.05992758186751695,0.05992758186751695
prev_latent_filter_pct,-0.054003357673139143,0.054003357673139143
_filterpy_pred_state_pct,-0.05389444319663956,0.05389444319663956
current_abs_mean_a,0.05194635886297291,0.05194635886297291
latent_soh_filterpy_filter_pct,-0.046910572074486415,0.046910572074486415
latent_soh_filter_pct,-0.046910572074486415,0.046910572074486415
score_gap,-0.0468845073248891,0.0468845073248891
throughput_stress_proxy,-0.0460772763608066,0.0460772763608066
coulomb_gap_abs_pct,0.04506657959317584,0.04506657959317584
kalman_coulomb_gap_span_pct,0.04486564213113639,0.04486564213113639
p95_abs_dcurrent_a_per_s,0.04453394909699659,0.04453394909699659
observed_soh_span_pct,-0.0413706695710255,0.0413706695710255
cumulative_flight_count,-0.040741553911715474,0.040741553911715474
score_event_type,-0.04036768995475434,0.04036768995475434
current_span_a,0.037063335502578884,0.037063335502578884
current_rms_proxy_a,0.03606217370443729,0.03606217370443729
score_didt,0.033345403737447495,0.033345403737447495
rolling_stress_index_mean_5,0.03330678602504325,0.03330678602504325
p95_abs_current_a,0.02822919654767511,0.02822919654767511
cap_est_span_raw,-0.027650155149218755,0.027650155149218755
cap_est_delta_raw,-0.02569535836360977,0.02569535836360977
estimation_reset_risk,0.020648393535373517,0.020648393535373517
score_dtemp,0.018748321167212995,0.018748321167212995
soc_stress_index,-0.01771020223218965,0.01771020223218965
flag_new_est_batt_cap_any,-0.01564789920486146,0.01564789920486146
p95_abs_dtemp_c_per_min,0.013757597967931903,0.013757597967931903
instant_stress_index,0.010462502249913729,0.010462502249913729
score_switch,0.010263416973912032,0.010263416973912032
cumulative_ah,-0.009537078224433476,0.009537078224433476
charge_event_flag,0.009208791651289001,0.009208791651289001
_filterpy_pred_var_pct2,-0.008228533514576617,0.008228533514576617
battery_id,-0.005573223895193065,0.005573223895193065
rolling_stress_index_max_5,-0.0055112464646082495,0.0055112464646082495
cumulative_event_count,-0.0054603651187210755,0.0054603651187210755
kalman_coulomb_gap_mean_pct,0.00422366361627754,0.00422366361627754
cumulative_efc,-0.0030377877489165,0.0030377877489165
