plane_id,battery_id,flight_id,event_datetime,event_type,observed_soh_pct,observed_soh_iqr_pct,observed_soh_span_pct,flag_new_est_batt_cap_any,flag_rst_coulomb_any,n_rows,event_duration_s,avg_cell_temp_mean_c,avg_cell_temp_min_c,avg_cell_temp_max_c,avg_cell_temp_span_c,current_abs_mean_a,p95_abs_current_a,current_span_a,voltage_mean_v,voltage_max_v,soc_mean_pct,soc_min_pct,soc_max_pct,soc_span_pct,kalman_coulomb_gap_mean_pct,kalman_coulomb_gap_span_pct,cap_est_delta_raw,cap_est_span_raw,p95_abs_dtemp_c_per_min,p95_abs_dcurrent_a_per_s
166,1,5768,2024-04-05 11:32:00,other,67.0,0.0,0.0,0,1,13220,2643.786408,12.523449319213313,0.0,17.0,17.0,22.46478063540091,30.9,102.1,363.2628895612708,391.3,61.07518910741301,21.0,89.0,68.0,-0.2689183055975803,2.400000000000013,9054.0,9054.0,0.0,3.4796544606427475
166,1,5769,2024-04-05 12:40:00,charge,67.0,0.0,0.0,1,1,8070,1613.7868629999998,11.202354399008675,0.0,13.0,13.0,3.6428872366790577,5.6,6.1,354.6378686493184,356.4,23.939405204460968,21.0,27.0,6.0,5.054779429987609,0.19000000000000483,9054.0,9054.0,0.0,0.5007757017544364
166,1,5770,2024-04-05 13:15:00,charge,67.0,0.0,0.0,0,0,18963,3792.375977,8.531350524706006,0.0,10.0,10.0,2.837309497442387,2.9,3.1,360.88348889943575,365.4,32.766281706481045,27.0,39.0,12.0,4.622852396772663,0.9100000000000108,9054.0,9054.0,0.0,0.5013334215677983
166,1,5771,2024-04-05 14:26:00,other,67.0,0.0,0.0,0,0,2373,474.39872099999997,7.0,7.0,7.0,0.0,2.203961230509903,7.2,10.0,361.8735356089338,363.7,38.61989043404973,38.0,39.0,1.0,3.937973029919932,0.18999999999999062,0.0,0.0,0.0,2.002900717955561
166,1,5772,2024-04-05 16:52:00,other,67.0,0.0,0.0,0,0,2026,404.997353,6.993089832181639,0.0,7.0,7.0,2.5030108588351427,7.574999999999999,11.6,360.47571569595266,362.3,37.515301085883515,37.0,38.0,1.0,3.9445607107601193,0.06000000000000938,9054.0,9054.0,0.0,1.9870326973712145
166,1,5773,2024-04-05 17:00:00,charge,67.0,0.0,2.0,0,0,45699,9139.541890999999,6.999693647563404,0.0,7.0,7.0,2.848324908641326,2.9,3.1,374.30369592332437,384.9,51.76879143963763,37.0,67.0,30.0,3.0704516510208095,1.690000000000012,9115.0,9115.0,0.0,0.5010622519756448
166,1,5774,2024-04-05 17:05:00,charge,65.0,0.0,65.0,0,0,37337,7467.150967999998,6.99962503682674,0.0,7.0,7.0,2.87585504995045,2.9,3.1,392.53546883788204,398.7,79.48822883466802,0.0,92.0,92.0,1.0667871012668395,2.6000000000000227,9115.0,9115.0,0.0,0.500538078433944
166,1,5775,2024-04-06 11:05:00,charge,65.0,0.0,0.0,0,0,11444,2288.589477,11.96373645578469,0.0,12.0,12.0,2.620718280321566,5.3,5.3999999999999995,401.58452464173365,405.5,96.41017126878714,92.0,98.0,6.0,0.5328739951066058,3.8900000000000006,9115.0,9115.0,0.0,4.000458052454944
166,1,5776,2024-04-07 13:58:00,flight,65.0,0.0,65.0,0,1,15537,3107.176958,13.799189032631782,0.0,16.0,16.0,21.149430391967563,72.5199999999999,100.9,363.9613760700264,398.9,60.84572311256999,24.0,99.0,75.0,-0.8251020145459227,4.079999999999998,9115.0,9115.0,0.0,6.448508751672818
166,1,5777,2024-04-07 14:55:00,charge,66.0,4.0,70.0,1,1,19878,3975.3743799999997,19.94768085320455,0.0,22.0,22.0,17.678181909648856,25.5,26.0,384.1156253144179,403.9,64.2275379816883,22.0,99.0,77.0,-0.5767547036925242,2.6000000000000227,9188.0,9188.0,0.0,0.5002851625428021
166,1,5778,2024-04-07 14:55:00,flight,66.0,1.0,66.0,1,1,23968,4795.360186,18.012892189586115,0.0,21.0,21.0,13.557843791722297,24.3,24.700000000000003,386.1003963618158,404.2,65.6579606141522,24.0,98.0,74.0,1.719088367823765,3.8600000000000136,9175.0,9175.0,0.0,0.5040647788999373
166,1,5779,2024-04-07 16:24:00,charge,66.0,0.0,0.0,0,1,14887,3467.7764710000006,18.42056828105058,16.0,20.0,4.0,12.416605091690737,36.0,44.9,369.2997111573857,400.9,63.60925639819977,22.0,100.0,78.0,-0.9385483979310808,5.680000000000021,0.0,0.0,0.0,4.0065256340648085
166,1,5784,2024-04-08 16:14:00,flight,70.0,0.0,0.0,0,1,13807,2761.1787790000003,16.68943289635692,0.0,19.0,19.0,17.091214601289202,69.6,100.2,375.453871224741,395.9,75.22285797059463,44.0,99.0,55.0,-0.9764228289997824,4.740000000000009,9188.0,9188.0,0.0,6.325939954164846
166,1,5783,2024-04-08 17:05:00,charge,71.0,1.0,1.0,1,1,18404,3680.570195,19.323516626820258,18.0,21.0,3.0,13.197859161051946,24.7,25.0,395.74152358183005,404.1,80.44783742664639,44.0,98.0,54.0,1.6449375135840034,4.0600000000000165,29.0,29.0,0.0,1.499713554723332
166,1,5787,2024-04-09 11:41:00,other,71.0,0.0,71.0,0,1,14251,2849.96626,12.579468107501228,0.0,15.0,15.0,22.10648375552593,30.5,38.2,366.41088344677564,398.1,68.26166584801067,28.0,99.0,71.0,-1.5771230089116555,5.550000000000011,9217.0,9217.0,0.0,5.000330022280276
166,1,5788,2024-04-09 12:40:00,charge,71.0,7.0,71.0,1,1,31640,6327.753138,16.451074589127685,0.0,21.0,21.0,9.926182048040458,19.9,22.5,384.02630847029076,404.0,65.00945006321112,28.0,98.0,70.0,1.706225663716814,3.760000000000005,9270.0,9270.0,0.0,0.5008213470085162
